Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,50100.0,50500.0,48450.0,48850.0,43233.0078125,89058657.0
2020-05-25,48700.0,51200.0,48600.0,51200.0,45312.7890625,110531431.0
2020-06-01,51000.0,57000.0,50800.0,54900.0,48587.34375,152104675.0
2020-06-08,55800.0,56500.0,49900.0,49900.0,44162.26953125,130305387.0
2020-06-15,51200.0,52900.0,50600.0,52000.0,46020.8046875,96423231.0
2020-06-22,52500.0,53900.0,51100.0,52400.0,46374.8125,100499613.0
2020-06-29,53900.0,55000.0,52100.0,55000.0,49001.2890625,83750389.0
2020-07-06,55800.0,55900.0,52300.0,53400.0,47575.8046875,93434468.0
2020-07-13,53700.0,55000.0,53200.0,54200.0,48288.55078125,75703765.0
2020-07-20,55200.0,55700.0,53700.0,55600.0,49535.8671875,79446205.0
2020-07-27,57000.0,60400.0,56400.0,56800.0,50604.97265625,147295816.0
2020-08-03,57200.0,58400.0,56300.0,57800.0,51495.91015625,95311282.0
2020-08-10,58000.0,59600.0,57700.0,58000.0,51674.1015625,81243854.0
2020-08-17,58900.0,59900.0,55300.0,56100.0,49981.32421875,108822757.0
2020-08-24,56400.0,56800.0,54000.0,54000.0,48110.36328125,95161121.0
2020-08-31,54100.0,57300.0,54100.0,56500.0,50337.70703125,105478749.0
2020-09-07,57400.0,60800.0,57200.0,60400.0,53812.33984375,128703591.0
2020-09-14,60900.0,61300.0,59000.0,59200.0,52743.21484375,94051833.0
2020-09-21,59100.0,59700.0,57400.0,58200.0,51852.28515625,82564562.0
2020-09-28,58300.0,59200.0,57500.0,58700.0,52619.4609375,35731852.0
2020-10-05,59400.0,60700.0,58500.0,60400.0,54143.375,70061425.0
2020-10-12,61000.0,61400.0,59000.0,60000.0,53784.8046875,84119754.0
2020-10-19,60300.0,61500.0,59800.0,60400.0,54143.375,71914111.0
2020-10-26,60300.0,60300.0,56000.0,57400.0,51454.125,101723184.0
2020-11-02,57900.0,60900.0,57600.0,60200.0,53964.08984375,90112146.0
2020-11-09,60500.0,66700.0,59500.0,66300.0,59432.203125,132365798.0
2020-11-16,67000.0,67800.0,63900.0,67500.0,60507.9140625,111961249.0
2020-11-23,67900.0,69500.0,66000.0,66700.0,59790.7734375,141503073.0
2020-11-30,67100.0,73500.0,67100.0,72900.0,65348.53515625,132330133.0
2020-12-07,72200.0,74500.0,71600.0,73800.0,66155.296875,128958349.0
2020-12-14,73800.0,74500.0,72000.0,73000.0,65438.1640625,100649350.0
2020-12-21,72500.0,80100.0,72100.0,78700.0,70547.7421875,108304150.0
2020-12-28,78800.0,84400.0,77300.0,83000.0,74402.3046875,98412146.0
2021-01-04,81600.0,96800.0,81600.0,91000.0,83626.5703125,259388808.0
2021-01-11,90300.0,91800.0,84100.0,85000.0,78112.7265625,187804994.0
2021-01-18,84500.0,89900.0,83600.0,89400.0,82156.203125,148544377.0
2021-01-25,88800.0,89200.0,81000.0,83000.0,76274.78125,159124624.0
2021-02-01,84100.0,86400.0,82100.0,83000.0,76274.78125,105961570.0
2021-02-08,84000.0,84800.0,81600.0,84200.0,77377.546875,67453804.0
2021-02-15,84500.0,86000.0,81000.0,82200.0,75539.5859375,111419283.0
2021-02-22,81200.0,85400.0,81100.0,82500.0,75815.3046875,120071751.0
2021-03-01,85100.0,85300.0,81100.0,82000.0,75355.7890625,115878870.0
2021-03-08,81400.0,83500.0,80600.0,81800.0,75172.0078125,96543854.0
2021-03-15,82200.0,83800.0,81700.0,82000.0,75355.7890625,71044133.0
2021-03-22,82600.0,82900.0,80700.0,81600.0,74988.21875,73783283.0
2021-03-29,81600.0,86000.0,81300.0,85400.0,78480.3203125,88292205.0
2021-04-05,86200.0,86200.0,83100.0,83200.0,76798.3359375,87280809.0
2021-04-12,83000.0,84700.0,82800.0,83300.0,76890.640625,76127103.0
2021-04-19,83300.0,84000.0,81600.0,83500.0,77075.2578125,84387808.0
2021-04-26,83200.0,83300.0,81000.0,81700.0,75413.75,82922798.0
2021-05-03,81900.0,83500.0,81500.0,83200.0,76798.3359375,63119970.0
2021-05-10,82500.0,82600.0,78400.0,79600.0,73475.328125,130490819.0
2021-05-17,79600.0,81500.0,79100.0,79700.0,73567.625,68396615.0
2021-05-24,80000.0,80600.0,79100.0,80500.0,74306.0703125,74493334.0
2021-05-31,80500.0,83000.0,80100.0,81900.0,75598.3671875,94627508.0
2021-06-07,82300.0,82600.0,80500.0,80500.0,74306.0703125,69915084.0
2021-06-14,80900.0,81900.0,79600.0,79900.0,73752.2421875,70062986.0
2021-06-21,80200.0,82000.0,79900.0,81900.0,75598.3671875,69460927.0
2021-06-28,81900.0,82100.0,79900.0,80400.0,74213.765625,59499908.0
2021-07-05,80600.0,81300.0,79000.0,79700.0,73893.328125,77273536.0
2021-07-12,80000.0,80600.0,78800.0,79000.0,73244.3359375,59220178.0
2021-07-19,78500.0,79900.0,78400.0,78800.0,73058.9140625,56570617.0
2021-07-26,79200.0,79500.0,78100.0,79300.0,73522.4765625,64094098.0
2021-08-02,79400.0,83300.0,79300.0,81500.0,75562.1953125,97332401.0
2021-08-09,82300.0,82400.0,74100.0,74400.0,68979.484375,154239642.0
2021-08-16,74000.0,75100.0,72500.0,73300.0,67959.6171875,124053227.0
2021-08-23,73900.0,76600.0,73800.0,74600.0,69164.9140625,87867818.0
2021-08-30,74900.0,77600.0,74300.0,77300.0,71668.1875,81050230.0
2021-09-06,77100.0,77100.0,74800.0,76300.0,70741.0546875,64139305.0
2021-09-13,77100.0,77700.0,75900.0,77200.0,71575.46875,60353309.0
2021-09-20,77200.0,77700.0,76800.0,77700.0,72039.0625,41002662.0
2021-09-27,77700.0,77800.0,72900.0,73200.0,67866.9140625,75121596.0
2021-10-04,73000.0,73000.0,71200.0,71500.0,66605.890625,70697702.0
2021-10-11,70700.0,71000.0,68300.0,70200.0,65394.890625,106232143.0
2021-10-18,70800.0,71000.0,69500.0,70200.0,65394.890625,48975792.0
2021-10-25,70600.0,72200.0,69500.0,69900.0,65115.41796875,69988350.0
2021-11-01,70800.0,72200.0,69800.0,70600.0,65767.4921875,65191709.0
2021-11-08,70300.0,71900.0,69600.0,71400.0,66512.75,54578880.0
2021-11-15,71500.0,75200.0,70100.0,74900.0,69773.171875,71553153.0
2021-11-22,76000.0,76200.0,71400.0,72300.0,67351.125,79925559.0
2021-11-29,73200.0,76700.0,70500.0,76300.0,71077.34375,110694127.0
2021-12-06,76100.0,78600.0,75600.0,76800.0,71543.1171875,86589290.0
2021-12-13,76500.0,78500.0,76200.0,77100.0,71822.5859375,56930581.0
2021-12-20,77900.0,80800.0,77500.0,80200.0,74710.3984375,67798436.0
2021-12-27,80200.0,80400.0,78100.0,78600.0,73219.9140625,65759932.0
2022-01-03,78800.0,79200.0,76400.0,78000.0,72989.1171875,75941189.0
2022-01-10,78400.0,79600.0,76900.0,77500.0,72521.2421875,56992873.0
2022-01-17,77600.0,77800.0,74700.0,75100.0,70275.421875,59365268.0
2022-01-24,74800.0,75000.0,71200.0,73300.0,68591.046875,61408928.0
2022-01-31,73300.0,74900.0,72400.0,73000.0,68310.3125,44715593.0
